name,dy_cd,glm_aed,gotm_wet,gotm_fabm,name_text,name_full,name_parse,units,conversion_aed,default,derived,derived_from,keywords
SIL_rsi,SiO2,SIL_rsi,abiotic_water_sSiO2W,instances/abiotic_water/initialization/sSiO2W,,Silica,Silica,,1,10,FALSE,NA,silica|SIL_rsi
BAC_bac,BAC,,,,,Bacteria,Bacteria,,1,,FALSE,NA,bacteria|BAC_bac
PHY_dinof,DINOF,PHY_dinof,,,,Dinoflagellates_mgchla/m3,Dinoflagellates~(mg~chla~m^-3),mg/m^3,1,,FALSE,NA,dinoflagellates|PHY_dinof
PHY_cyano,CYANO,PHY_cyano,cyanobacteria_oChla,instances/cyanobacteria/initialization/sDW,Cyanobacteria,Cyanophytes_mgchla/m3,Cyanophytes~(mg~chla~m^-3),mg/m^3,1,0.1,FALSE,NA,cyanobacteria|PHY_cyano
PHY_nodul,NODUL,PHY_nodul,,,,Nodularia_mgchla/m3,Nodularia~(mg~chla~m^-3),mg/m^3,1,,FALSE,NA,nodularia|PHY_nodul
PHY_green,CHLOR,PHY_green,greens_oChla,instances/greens/initialization/sDW,Green algae,Chlorophytes_mgchla/m3,Chlorophytes~(mg~chla~m^-3),mg/m^3,1,0.1,FALSE,NA,green algae|PHY_green
PHY_crypt,CRYPT,PHY_crypt,,,Cryptophytes,Cryptophytes_mgchla/m3,Cryptophytes~(mg~chla~m^-3),mg/m^3,1,,FALSE,NA,cryptophytes|PHY_crypt
PHY_mdiat,MDIAT,PHY_mdiat,,,Diatoms marine,Diatoms_marine_mgchla/m3,Diatoms~marine~(mg~chla~m^-3),mg/m^3,1,,FALSE,NA,marine diatoms|PHY_mdiat
PHY_diatom,FDIAT,PHY_diatom,diatoms_oChla,instances/diatoms/initialization/sDW,Diatoms freshwater,Diatoms_freshwater_mgchla/m3,Diatoms~freshwater~(mg~chla~m^-3),mg/m^3,1,0.1,FALSE,NA,freshwater diatoms|PHY_diatom
PHY_tchla,TCHLA,PHY_TCHLA,wet_chla_calculator_result,,Total chlorophyll a,Total_chlorophyll_a_mg/m3,Total~chlorophyll~a~(mg~m^-3),mg/m3,1,,FALSE,NA,chlorophyll|PHY_tchla
PHY_rstchla,,,,,Remotely sensed total chlorophyll a,Remotely_sensed_total_chlorophyll_a_mg/m3,Remotely~sensed~total~chlorophyll~a~(mg~m^-3),mg/m3,1,,FALSE,NA,remote chlorophyll|PHY_rstchla
NCS_ss1,SSOL1,NCS_ss1,abiotic_water_sDIMW,instances/abiotic_water/initialization/sDIMW,Suspended solids,Suspended_solids_1,Suspended~solids~1,,1,0.43,FALSE,NA,suspended solids 1|NCS_ss1
NCS_ss2,SSOL2,NCS_ss2,,,Suspended solids,Suspended_solids_2,Suspended~solids~2,,1,0,FALSE,NA,suspended solids 2|NCS_ss2
NCS_ss3,SSOL3,,,,Suspended solids,Suspended_solids_3,Suspended~solids~3,,1,,FALSE,NA,suspended solids 3|NCS_ss3
NCS_ss4,SSOL4,,,,Suspended solids,Suspended_solids_4,Suspended~solids~4,,1,,FALSE,NA,suspended solids 4|NCS_ss4
NCS_ss5,SSOL5,,,,Suspended solids,Suspended_solids_5,Suspended~solids~5,,1,,FALSE,NA,suspended solids 5|NCS_ss5
NCS_ss6,SSOL6,,,,Suspended solids,Suspended_solids_6,Suspended~solids~6,,1,,FALSE,NA,suspended solids 6|NCS_ss6
NCS_iss,,,,,Total suspended inorganic solids,Total_suspended_inorganic_solids_g/m3,Total~suspended~inorganic~solids~g~m3,,1,,FALSE,NA,inert suspended solids|NCS_iss
NCS_tss,,,,,Total suspended solids,Total_suspended_solids_g/m3,Total~suspended~solids~g~m3,,1,,FALSE,NA,total suspended solids|NCS_tss
ZOO_zoo1,ZOOP1,ZOO_zoo01,cladocerans_sD,instances/cladocerans/initialization/sD,Zooplankton,Zooplankton_1,Zooplankton~1,,0.012011,,FALSE,NA,zooplankton 1|ZOO_zoo1
ZOO_zoo2,ZOOP2,,copepods_sD,instances/copepods/initialization/sD,Zooplankton,Zooplankton_2,Zooplankton~2,,1,,FALSE,NA,zooplankton 2|ZOO_zoo2
ZOO_zoo3,ZOOP3,,zoobenthos_sD,instances/zoobenthos/initialization/sD,Zooplankton,Zooplankton_3,Zooplankton~3,,1,,FALSE,NA,zooplankton 3|ZOO_zoo3
ZOO_zoo4,ZOOP4,,,,Zooplankton,Zooplankton_4,Zooplankton~4,,1,,FALSE,NA,zooplankton 4|ZOO_zoo4
ZOO_zoo5,ZOOP5,,,,Zooplankton,Zooplankton_5,Zooplankton~5,,1,,FALSE,NA,zooplankton 5|ZOO_zoo5
FSH_fish1,FISH1,,,,Fish,Fish_1,Fish~1,,1,,FALSE,NA,fish 1|FSH_fish1
FSH_fish2,FISH2,,,,Fish,Fish_2,Fish~2,,1,,FALSE,NA,fish 2|FSH_fish2
FSH_fish3,FISH3,,,,Fish,Fish_3,Fish~3,,1,,FALSE,NA,fish 3|FSH_fish3
FSH_jelly,JELY1,,,,,Jellyfish,Jellyfish,,1,,FALSE,NA,jellyfish|FSH_jelly
MAC_macalg1,MACA1,,,,Macroalgae,Macroalgae_1,Macroalgae~1,,1,,FALSE,NA,macroalgae 1|MAC_macalg1
MAC_macalg2,MACA2,,,,Macroalgae,Macroalgae_2,Macroalgae~2,,1,,FALSE,NA,macroalgae 2|MAC_macalg2
MAC_macalg3,MACA3,,,,Macroalgae,Macroalgae_3,Macroalgae~3,,1,,FALSE,NA,macroalgae 3|MAC_macalg3
MAC_macalg4,MACA4,,,,Macroalgae,Macroalgae_4,Macroalgae~4,,1,,FALSE,NA,macroalgae 4|MAC_macalg4
CLM_clam1,CLAM1,,,,Bivalves,Bivalves_1,Bivalves~1,,1,,FALSE,NA,bivalves 1|CLM_clam1
CLM_clam2,CLAM2,,,,Bivalves,Bivalves_2,Bivalves~2,,1,,FALSE,NA,bivalves 2|CLM_clam2
CLM_clam3,CLAM3,,,,Bivalves,Bivalves_3,Bivalves~3,,1,,FALSE,NA,bivalves 3|CLM_clam3
