Date,outflow
2021-12-17,642.313389034381
2021-12-18,687.464389005835
2021-12-19,671.632423336503
2021-12-20,714.880066000938
2021-12-21,794.025553162103
2021-12-22,648.466600628961
2021-12-23,483.458687253818
2021-12-24,381.680691749032
2021-12-25,269.21987674875
2021-12-26,85.5807854961839
2021-12-27,16.020894019337
2021-12-28,69.7537540449913
2021-12-29,145.13783730112
2021-12-30,138.903481461457
2021-12-31,36.4848357798586
2022-01-01,443.105662864678
2022-01-02,488.913616057736
2022-01-03,272.54453664785
2022-01-04,26.3661754862529
2022-01-05,0
2022-01-06,0
2022-01-07,0
2022-01-08,0
2022-01-09,0
2022-01-10,0
2022-01-11,0
2022-01-12,0
2022-01-13,0
2022-01-14,0
2022-01-15,0
2022-01-16,0
2022-01-17,0
2022-01-18,0
2022-01-19,0
2022-01-20,0
2022-01-21,0
2022-01-22,0
2022-01-23,0
2022-01-24,0
2022-01-25,0
2022-01-26,0
2022-01-27,0
2022-01-28,0
2022-01-29,0
2022-01-30,0
2022-01-31,0
2022-02-01,0
2022-02-02,0
2022-02-03,0
2022-02-04,0
2022-02-05,0
2022-02-06,0
2022-02-07,0
2022-02-08,0
2022-02-09,0
2022-02-10,0
2022-02-11,0
2022-02-12,0
2022-02-13,0
2022-02-14,0
2022-02-15,0
2022-02-16,0
2022-02-17,0
2022-02-18,0
2022-02-19,1547.72726230483
2022-02-20,1462.02084833046
2022-02-21,1182.37388554694
2022-02-22,1036.54024101895
2022-02-23,919.710312396121
2022-02-24,875.785012617746
2022-02-25,774.813237858446
2022-02-26,655.594688228128
2022-02-27,562.584938709694
2022-02-28,434.748368554194
2022-03-01,276.706172787348
2022-03-02,45.2391907962193
2022-03-03,0
2022-03-04,0
2022-03-05,0
2022-03-06,2017.26979466577
2022-03-07,3436.92193912267
2022-03-08,3947.49306689872
2022-03-09,54161.2962453599
2022-03-10,97134.9250744715
2022-03-11,103044.659097553
2022-03-12,105133.426847571
2022-03-13,106553.809741522
2022-03-14,57889.1141023786
2022-03-15,16337.0481297534
2022-03-16,8644.89644289007
2022-03-17,6285.78701419747
2022-03-18,5381.12019123183
2022-03-19,4787.84614549875
2022-03-20,4351.68523644538
2022-03-21,4127.51241230723
2022-03-22,3822.79132457375
2022-03-23,3644.41477119814
2022-03-24,4093.37703675505
2022-03-25,6547.97711059615
2022-03-26,6912.9095727243
2022-03-27,9181.22053877527
2022-03-28,10706.5672621179
2022-03-29,10874.9001646415
2022-03-30,8723.26118249693
2022-03-31,8438.34682801451
2022-04-01,7064.55716211378
2022-04-02,5802.03492604776
2022-04-03,56938.8001825233
2022-04-04,67742.6557468729
2022-04-05,71347.6812705905
