"ID","Name","Area","Region","Geomorphic type","Depth","Depth measurement","Data","aeme_file"
"LID 47090","White Heron Lagoon",14.55,"West Coast","Riverine",7.84,"Predicted","No data","LID47090"
"LID 47095","Rotokino",143.34,"West Coast","Glacial",22.96,"Predicted","No data","LID47095"
"LID 47143","Scott Pond",6.29,"Canterbury","Glacial",18.07,"Predicted","No data","LID47143"
"LID 47193","Lake Alexandrina",645.9,"Canterbury","Glacial",28.61,"Measured","Limited and Irregular","LID47193"
"LID 47198","Lake McGregor",37.1,"Canterbury","Glacial",12.92,"Measured","Minimal Data","LID47198"
"LID 47199","Roys Lagoon",24.76,"Canterbury","Riverine",16.74,"Predicted","No data","LID47199"
"LID 47206","Sunday Tarn",5.27,"Canterbury","Glacial",17.28,"Predicted","No data","LID47206"
"LID 47207","Lake Murray",6.1,"Canterbury","Glacial",13.24,"Predicted","No data","LID47207"
"LID 47210","Grebe Tarn",8.79,"Canterbury","Glacial",16.88,"Predicted","No data","LID47210"
"LID 47217","LID 47217",5.22,"Canterbury","Glacial",18.14,"Predicted","No data","LID47217"
"LID 47225","Hartley Tarn",5.87,"Canterbury","Glacial",18.85,"Predicted","No data","LID47225"
"LID 47228","Tekapo",9662.49,"Canterbury","Glacial",120,"Measured","Minimal Data","LID47228"
"LID 47252","Stony Tarn",7.06,"Canterbury","Glacial",15.8,"Predicted","No data","LID47252"
"LID 47254","Tui Tarn",6.38,"Canterbury","Glacial",17.46,"Predicted","No data","LID47254"
"LID 47262","Rapuwai Lagoon",7.4,"Canterbury","Glacial",15.78,"Predicted","No data","LID47262"
"LID 47399","LID 47399",125.07,"Canterbury","Glacial",95.18,"Predicted","No data","LID47399"
"LID 47404","LID 47404",116.14,"Canterbury","Glacial",97,"Measured","No data","LID47404"
"LID 47406","LID 47406",114.87,"Canterbury","Glacial",149.77,"Measured","No data","LID47406"
"LID 47414","Ice Lake",34.14,"West Coast","Glacial",85.83,"Predicted","No data","LID47414"
"LID 47440","Abel Lake",5.51,"West Coast","Glacial",NA,"Predicted","No data","LID47440"
"LID 47491","Matahi (Lake Ianthe)",470.8,"West Coast","Riverine",31.68,"Measured","No data","LID47491"
"LID 47579","Wairewa (Lake Forsyth)",558.26,"Canterbury","Shoreline",4.1,"Measured","Minimal Data","LID47579"
"LID 47717","LID 47717",5.17,"Canterbury","Dam",15.95,"Predicted","No data","LID47717"
"LID 47858","Maori Lakes Mid",1,"Canterbury","Riverine",4.89,"Predicted","No data","LID47858"
"LID 47859","Maori Lakes E",9.48,"Canterbury","Riverine",1.24,"Measured","Minimal Data","LID47859"
"LID 47860","Lake Emily",19.34,"Canterbury","Riverine",12.64,"Predicted","Minimal Data","LID47860"
"LID 47869","Manuka Lake",10.04,"Canterbury","Riverine",20.14,"Predicted","No data","LID47869"
"LID 47877","Seagull Lake",6.96,"Canterbury","Glacial",41.12,"Predicted","No data","LID47877"
"LID 47892","Lake Heron",694.43,"Canterbury","Riverine",37.29,"Measured","Limited and Irregular","LID47892"
"LID 48018","LID 48018",5.35,"Canterbury","Dam",18.25,"Predicted","No data","LID48018"
"LID 48161","LID 48161",6.17,"Canterbury","Shoreline",6.12,"Predicted","No data","LID48161"
"LID 48177","Te Waihora (Lake Ellesmere)",19765.63,"Canterbury","Shoreline",2.5,"Measured","Limited and Irregular","LID48177"
"LID 48188","LID 48188",5.23,"Canterbury","Peat",6.25,"Predicted","No data","LID48188"
"LID 48204","LID 48204",5.06,"Canterbury","Riverine",7.53,"Predicted","No data","LID48204"
"LID 48207","LID 48207",14.17,"Canterbury","Dam",14.11,"Predicted","No data","LID48207"
"LID 48209","LID 48209",8.45,"Canterbury","Dam",11.59,"Predicted","No data","LID48209"
"LID 48213","Lake Selfe",65.42,"Canterbury","Glacial",38.73,"Predicted","Minimal Data","LID48213"
"LID 48215","LID 48215",5.76,"Canterbury","Glacial",5.71,"Predicted","No data","LID48215"
"LID 48217","Lake Evelyn",17.63,"Canterbury","Glacial",16.96,"Predicted","Minimal Data","LID48217"
"LID 48374","LID 48374",46.39,"Canterbury","Glacial",NA,"Predicted","No data","LID48374"
"LID 48381","LID 48381",17.72,"Canterbury","Glacial",NA,"Predicted","No data","LID48381"
"LID 48387","LID 48387",23.08,"West Coast","Glacial",89.4,"Predicted","No data","LID48387"
"LID 48395","Ivory Lake",12.42,"West Coast","Glacial",NA,"Predicted","No data","LID48395"
"LID 48445","LID 48445",6.42,"Canterbury","Glacial",19,"Predicted","No data","LID48445"
"LID 48447","Lake Georgina",17.45,"Canterbury","Glacial",18.66,"Predicted","Minimal Data","LID48447"
"LID 48451","Lake Coleridge",3686.44,"Canterbury","Glacial",200,"Measured","Minimal Data","LID48451"
"LID 48455","Lake Ida",10.04,"Canterbury","Glacial",35.83,"Predicted","Minimal Data","LID48455"
"LID 48456","Lake Catherine",18.4,"Canterbury","Glacial",23.43,"Predicted","Minimal Data","LID48456"
"LID 48468","Lake Lillian",9.21,"Canterbury","Glacial",27.29,"Predicted","No data","LID48468"
"LID 48597","Lake Lyndon",88.35,"Canterbury","Glacial",19.68,"Measured","Limited and Irregular","LID48597"
